Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
2x4x8 Spruce,IHL Canada,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-09-06T13:50:40.503109
2x4x8 Spruce,New Canadian Lumber,2x4x8' Premium SPF,,4.44,,https://shop.newcanadianslumber.com/p/2x4x8-premium-spf/S248,2026-09-06T13:54:29.509790
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium SPF,,4.49,,https://www.downtownlumber.com/p/2x4x8-premium-spf/248,2026-09-06T13:54:34.853176
2x4x8 Spruce,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.99,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-09-06T13:54:34.853248
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium WR Cedar,,17.69,,https://www.downtownlumber.com/p/2x4x8-premium-wr-cedar/248C,2026-09-06T13:54:34.853255
2x6x10 Spruce,IHL Canada,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-09-06T13:50:40.503118
2x6x10 Spruce,New Canadian Lumber,2x6x10' Premium SPF,,10.89,,https://shop.newcanadianslumber.com/p/2x6x10-premium-spf/S2610,2026-09-06T13:54:29.509862
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium SPF,,11.49,,https://www.downtownlumber.com/p/2x6x10-premium-spf/2610,2026-09-06T13:54:34.853241
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium WR Cedar,,41.98,,https://www.downtownlumber.com/p/2x6x10-premium-wr-cedar/2610C,2026-09-06T13:54:34.853229
2x6x12 Spruce,Downtown Lumber,2x6x12' Premium SPF,,13.99,,https://www.downtownlumber.com/p/2x6x12-premium-spf/2612,2026-09-06T13:54:34.853261
2x6x8 Spruce,IHL Canada,2 in. x 6 in. x 8 ft. Spruce Lumber,20920,6.89,,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-spruce-lumber,2026-09-06T13:50:40.503139
2x6x8 Spruce,New Canadian Lumber,2x6x8' Premium SPF,,6.99,,https://shop.newcanadianslumber.com/p/2x6x8-premium-spf/S268,2026-09-06T13:54:29.509827
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium SPF,,7.29,,https://www.downtownlumber.com/p/2x6x8-premium-spf/268,2026-09-06T13:54:34.853199
