supplier,category,name,sku,price_cad,pro_price,unit,url,scraped_at
IHL Canada,Lumber,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,Default Title,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-03-27T14:33:33.875352
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,Default Title,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-27T14:33:33.875362
IHL Canada,Lumber,11/16 in. x 4 ft. x 8 ft. Ultraform 7 Layer Concrete Formply Plywood,21967,89.95,,Default Title,https://ihlcanada.com/products/11-16-in-x-4-ft-x-8-ft-ultraform-7-layer-formply-plywood,2026-03-27T14:33:33.875365
IHL Canada,Lumber,2 in. x 4 in. x 10 ft. Spruce Lumber,20915,5.75,,Default Title,https://ihlcanada.com/products/2-in-x-4-in-x-10-ft-spruce-lumber,2026-03-27T14:33:33.875368
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-03-27T14:33:33.875374
IHL Canada,Lumber,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,Default Title,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-27T14:33:33.875377
IHL Canada,Lumber,3/4 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26784,50.84,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-x-3-4-in-d-grade-spruce-plywood,2026-03-27T14:33:33.875379
IHL Canada,Lumber,3/8 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26786,24.74,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-degrade-spruce-plywood,2026-03-27T14:33:33.875383
IHL Canada,Lumber,2 in. x 12 in. x 8 ft. Spruce Lumber,20937,29.89,,Default Title,https://ihlcanada.com/products/2-in-x-12-in-spruce-lumber,2026-03-27T14:33:33.875386
IHL Canada,Lumber,1 in. x 2 in. x 24 in. Pointed Wood Stake (25-Pack),28679,23.48,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-pointed-wood-stake-25-pack,2026-03-27T14:33:33.875389
IHL Canada,Lumber,2 in. x 4 in. x 12 ft. Spruce Lumber,20916,6.9,,Default Title,https://ihlcanada.com/products/2-in-x-4-in-x-12-ft-spruce-lumber,2026-03-27T14:33:33.875394
IHL Canada,Lumber,2 in. x 4 in. x 16 ft. Spruce Lumber,20918,9.2,,Default Title,https://ihlcanada.com/products/2-in-x-4-in-x-16-ft-spruce-lumber,2026-03-27T14:33:33.875396
IHL Canada,Lumber,4 in. x 4 in. x 8 ft. Spruce Lumber,20942,12.8,,Default Title,https://ihlcanada.com/products/4-in-x-4-in-spruce-lumber,2026-03-27T14:33:33.875399
IHL Canada,Lumber,2 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22115,7.49,,Default Title,https://ihlcanada.com/products/2-in-x-4-in-brown-pressure-treated-lumber,2026-03-27T14:33:33.875401
IHL Canada,Lumber,3/4 in. 4 ft x 8 ft. Fire-Resistant Treated Plywood,21735,98.0,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-x-3-4-in-fire-rated-plywood,2026-03-27T14:33:33.875403
IHL Canada,Lumber,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-03-27T14:33:33.875406
IHL Canada,Lumber,2 in. x 6 in. x 8 ft. Spruce Lumber,20920,6.89,,Default Title,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-spruce-lumber,2026-03-27T14:33:33.875408
IHL Canada,Lumber,1 in. x 6 in. x 8 ft. Brown Pressure Treated Lumber,22108,6.17,,Default Title,https://ihlcanada.com/products/1in-x-6in-brown-pressure-treated-lumber,2026-03-27T14:33:33.875410
IHL Canada,Lumber,1 in. x 2 in. x 8 ft. Spruce Lumber,20895,1.65,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-spruce-lumber,2026-03-27T14:33:33.875413
IHL Canada,Lumber,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,Default Title,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-03-27T14:33:33.875415
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-03-27T14:33:33.875417
IHL Canada,Lumber,3/8 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20947,27.49,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-standard-spruce-plywood,2026-03-27T14:33:33.875420
IHL Canada,Lumber,2 in. x 6 in. x 16 ft. Spruce Lumber,20926,16.38,,Default Title,https://ihlcanada.com/products/2-in-x-6-in-x-16-ft-spruce-lumber,2026-03-27T14:33:33.875422
IHL Canada,Lumber,6 in. x 6 in. x 10 ft. Brown Pressure Treated Lumber Post,22151,52.86,,Default Title,https://ihlcanada.com/products/copy-of-6-in-x-6-in-x-8-ft-brown-pressure-treated-lumber,2026-03-27T14:33:33.875425
IHL Canada,Lumber,4 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22140,16.6,,Default Title,https://ihlcanada.com/products/4-in-x-4-in-x-8-ft-brown-pressure-treated-lumber,2026-03-27T14:33:33.875427
IHL Canada,Lumber,6 in. x 6 in. x 12 ft. Brown Pressure Treated Lumber,22152,63.44,,Default Title,https://ihlcanada.com/products/6-in-x-6-in-brown-pressure-treated-lumber,2026-03-27T14:33:33.875429
IHL Canada,Lumber,2 in. x 6 in. x 12 ft. Spruce Lumber,20924,12.29,,Default Title,https://ihlcanada.com/products/2-in-x-6-in-x-12-ft-spruce-lumber,2026-03-27T14:33:33.875431
IHL Canada,Lumber,5/8 in. x 4 ft. x 8 ft. Tongue and Grooved OSB Oriented Strand Board,20955,22.48,,Default Title,https://ihlcanada.com/products/5-8-in-x-4-ft-x-8-ft-tongue-and-grooved-osb-oriented-strand-board,2026-03-27T14:33:33.875434
IHL Canada,Lumber,2 in. x 6 in. x 8 ft. Brown Pressure Treated Lumber,22120,12.86,,Default Title,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-brown-pressure-treated-lumber,2026-03-27T14:33:33.875436
IHL Canada,Lumber,6 in. x 6 in. x 8 ft. Brown Pressure Treated Lumber,22150,42.29,,Default Title,https://ihlcanada.com/products/6-in-x-6-in-x-8-ft-brown-pressure-treated-lumber,2026-03-27T14:33:33.875438
IHL Canada,Lumber,2 in. x 10 in. x 16 ft. Cleated Spruce Scaffold Plank,21859,87.0,,Default Title,https://ihlcanada.com/products/2-in-x-10-in-x-16-ft-cleated-spruce-scaffold-plank,2026-03-27T14:33:33.875442
IHL Canada,Lumber,2 in. x 2 in. x 8 ft. Spruce Lumber,20907,3.25,,Default Title,https://ihlcanada.com/products/2-in-x-2-in-spruce-lumber,2026-03-27T14:33:33.875444
