Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
1/2 Drywall 4x10,Downtown Lumber,"4x10x1/2"" Lite-Weight Drywall",,21.8,,https://www.downtownlumber.com/p/4x10x12-lite-weight-drywall/1210DW,2026-09-24T15:36:50.244934
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" UltraLight Drywall",,17.45,,https://shop.newcanadianslumber.com/p/4x8x12-ultralight-drywall/D4812,2026-09-24T15:36:45.289090
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Lite-Weight Drywall",,17.47,,https://www.downtownlumber.com/p/4x8x12-lite-weight-drywall/12DW,2026-09-24T15:36:50.244902
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-09-24T15:32:42.414857
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-09-24T15:32:43.970569
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-24T15:32:42.414863
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-24T15:32:43.970571
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,40.99,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-09-24T15:36:45.289107
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,40.99,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-09-24T15:36:50.244913
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-09-24T15:32:42.414861
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-09-24T15:32:43.970581
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-09-24T15:32:42.414859
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-09-24T15:32:43.970589
1/2 Drywall 4x8,IHL Canada,Amvic Envirosheet EN20S25004 2-1/2 in. x 4 ft. x 8 ft. Type-2 EPS Rigid Foam Board Insulation (6-Piece),32515,285.0,,https://ihlcanada.com/products/amvic-envirosheet-en20s25004-2-1-2-in-x-4-ft-x-8-ft-type-2-eps-rigid-foam-board-insulation-6-piece,2026-09-24T15:32:47.120190
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-24T15:32:42.414863
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-24T15:32:43.970571
1/2 Spruce Plywood,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,40.99,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-09-24T15:36:45.289107
1/2 Spruce Plywood,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,40.99,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-09-24T15:36:50.244913
2x12x12 Spruce,Downtown Lumber,2x12x12' Premium SPF,,45.41,,https://www.downtownlumber.com/p/2x12x12-premium-spf/21212,2026-09-24T15:36:50.244916
2x4x10 Pressure Treated,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.99,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-09-24T15:36:50.244945
2x4x10 Spruce,IHL Canada,2 in. x 4 in. x 10 ft. Spruce Lumber,20915,5.75,,https://ihlcanada.com/products/2-in-x-4-in-x-10-ft-spruce-lumber,2026-09-24T15:32:42.414925
2x4x10 Spruce,New Canadian Lumber,2x4x10' Premium SPF,,5.89,,https://shop.newcanadianslumber.com/p/2x4x10-premium-spf/S2410,2026-09-24T15:36:45.289031
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium SPF,,5.89,,https://www.downtownlumber.com/p/2x4x10-premium-spf/2410,2026-09-24T15:36:50.244887
2x4x10 Spruce,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.99,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-09-24T15:36:50.244945
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium WR Cedar,,21.49,,https://www.downtownlumber.com/p/2x4x10-premium-wr-cedar/2410C,2026-09-24T15:36:50.244904
2x4x12 Spruce,Downtown Lumber,2x4x12' Premium WR Cedar,,25.79,,https://www.downtownlumber.com/p/2x4x12-premium-wr-cedar/2412C,2026-09-24T15:36:50.244893
2x4x8 Pressure Treated,IHL Canada,2 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22115,6.11,,https://ihlcanada.com/products/2-in-x-4-in-brown-pressure-treated-lumber,2026-09-24T15:32:42.414941
2x4x8 Pressure Treated,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.99,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-09-24T15:36:50.244937
2x4x8 Spruce,IHL Canada,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-09-24T15:32:42.414942
2x4x8 Spruce,New Canadian Lumber,2x4x8' Premium SPF,,4.44,,https://shop.newcanadianslumber.com/p/2x4x8-premium-spf/S248,2026-09-24T15:36:45.289041
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium SPF,,4.44,,https://www.downtownlumber.com/p/2x4x8-premium-spf/248,2026-09-24T15:36:50.244878
2x4x8 Spruce,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.99,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-09-24T15:36:50.244937
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium WR Cedar,,17.69,,https://www.downtownlumber.com/p/2x4x8-premium-wr-cedar/248C,2026-09-24T15:36:50.244942
2x6x10 Spruce,IHL Canada,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-09-24T15:32:42.414951
2x6x10 Spruce,New Canadian Lumber,2x6x10' Premium SPF,,10.99,,https://shop.newcanadianslumber.com/p/2x6x10-premium-spf/S2610,2026-09-24T15:36:45.289087
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium SPF,,10.99,,https://www.downtownlumber.com/p/2x6x10-premium-spf/2610,2026-09-24T15:36:50.244931
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium WR Cedar,,41.98,,https://www.downtownlumber.com/p/2x6x10-premium-wr-cedar/2610C,2026-09-24T15:36:50.244921
2x6x12 Spruce,Downtown Lumber,2x6x12' Premium SPF,,13.19,,https://www.downtownlumber.com/p/2x6x12-premium-spf/2612,2026-09-24T15:36:50.244949
