Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
1/2 Drywall 4x10,Downtown Lumber,"4x10x1/2"" Lite-Weight Drywall",,21.8,,https://www.downtownlumber.com/p/4x10x12-lite-weight-drywall/1210DW,2026-09-21T16:44:09.368486
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" UltraLight Drywall",,17.45,,https://shop.newcanadianslumber.com/p/4x8x12-ultralight-drywall/D4812,2026-09-21T16:44:03.956457
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Lite-Weight Drywall",,17.47,,https://www.downtownlumber.com/p/4x8x12-lite-weight-drywall/12DW,2026-09-21T16:44:09.368447
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-09-21T16:40:14.055865
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-09-21T16:40:15.525590
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-21T16:40:14.055872
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-09-21T16:40:15.525593
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,39.98,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-09-21T16:44:03.956478
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,40.99,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-09-21T16:44:09.368460
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-09-21T16:40:14.055870
