Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
1/2 Drywall 4x10,Downtown Lumber,"4x10x1/2"" Lite-Weight Drywall",,21.88,,https://www.downtownlumber.com/p/4x10x12-lite-weight-drywall/1210DW,2026-08-09T11:21:58.095570
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" UltraLight Drywall",,17.45,,https://shop.newcanadianslumber.com/p/4x8x12-ultralight-drywall/D4812,2026-08-09T11:21:52.433132
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Lite-Weight Drywall",,17.47,,https://www.downtownlumber.com/p/4x8x12-lite-weight-drywall/12DW,2026-08-09T11:21:58.095528
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-08-09T11:18:03.831253
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-08-09T11:18:05.216564
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-09T11:18:03.831265
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-09T11:18:05.216567
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,39.97,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-08-09T11:21:58.095543
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,39.98,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-08-09T11:21:52.433152
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-08-09T11:18:03.831258
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-08-09T11:18:05.216579
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-08-09T11:18:03.831256
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-08-09T11:18:05.216588
1/2 Drywall 4x8,IHL Canada,Amvic Envirosheet EN20S25004 2-1/2 in. x 4 ft. x 8 ft. Type-2 EPS Rigid Foam Board Insulation (6-Piece),32515,285.0,,https://ihlcanada.com/products/amvic-envirosheet-en20s25004-2-1-2-in-x-4-ft-x-8-ft-type-2-eps-rigid-foam-board-insulation-6-piece,2026-08-09T11:18:08.229226
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-09T11:18:03.831265
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-09T11:18:05.216567
1/2 Spruce Plywood,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,39.97,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-08-09T11:21:58.095543
1/2 Spruce Plywood,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,39.98,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-08-09T11:21:52.433152
2x12x12 Spruce,Downtown Lumber,2x12x12' Premium SPF,,44.98,,https://www.downtownlumber.com/p/2x12x12-premium-spf/21212,2026-08-09T11:21:58.095546
2x4x10 Pressure Treated,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.99,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-08-09T11:21:58.095583
2x4x10 Spruce,New Canadian Lumber,2x4x10' Premium SPF,,5.69,,https://shop.newcanadianslumber.com/p/2x4x10-premium-spf/S2410,2026-08-09T11:21:52.433056
2x4x10 Spruce,IHL Canada,2 in. x 4 in. x 10 ft. Spruce Lumber,20915,5.75,,https://ihlcanada.com/products/2-in-x-4-in-x-10-ft-spruce-lumber,2026-08-09T11:18:03.831339
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium SPF,,5.99,,https://www.downtownlumber.com/p/2x4x10-premium-spf/2410,2026-08-09T11:21:58.095510
2x4x10 Spruce,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.99,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-08-09T11:21:58.095583
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium WR Cedar,,20.99,,https://www.downtownlumber.com/p/2x4x10-premium-wr-cedar/2410C,2026-08-09T11:21:58.095532
2x4x12 Spruce,Downtown Lumber,2x4x12' Premium WR Cedar,,24.99,,https://www.downtownlumber.com/p/2x4x12-premium-wr-cedar/2412C,2026-08-09T11:21:58.095518
2x4x8 Pressure Treated,IHL Canada,2 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22115,6.79,,https://ihlcanada.com/products/2-in-x-4-in-brown-pressure-treated-lumber,2026-08-09T11:18:03.831359
2x4x8 Pressure Treated,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.99,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-08-09T11:21:58.095573
2x4x8 Spruce,IHL Canada,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-08-09T11:18:03.831362
2x4x8 Spruce,New Canadian Lumber,2x4x8' Premium SPF,,3.98,,https://shop.newcanadianslumber.com/p/2x4x8-premium-spf/S248,2026-08-09T11:21:52.433071
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium SPF,,4.49,,https://www.downtownlumber.com/p/2x4x8-premium-spf/248,2026-08-09T11:21:58.095496
2x4x8 Spruce,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.99,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-08-09T11:21:58.095573
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium WR Cedar,,17.49,,https://www.downtownlumber.com/p/2x4x8-premium-wr-cedar/248C,2026-08-09T11:21:58.095579
2x6x10 Spruce,IHL Canada,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-08-09T11:18:03.831371
2x6x10 Spruce,New Canadian Lumber,2x6x10' Premium SPF,,10.25,,https://shop.newcanadianslumber.com/p/2x6x10-premium-spf/S2610,2026-08-09T11:21:52.433128
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium SPF,,10.99,,https://www.downtownlumber.com/p/2x6x10-premium-spf/2610,2026-08-09T11:21:58.095566
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium WR Cedar,,41.98,,https://www.downtownlumber.com/p/2x6x10-premium-wr-cedar/2610C,2026-08-09T11:21:58.095553
2x6x12 Spruce,Downtown Lumber,2x6x12' Premium SPF,,13.99,,https://www.downtownlumber.com/p/2x6x12-premium-spf/2612,2026-08-09T11:21:58.095586
2x6x8 Spruce,New Canadian Lumber,2x6x8' Premium SPF,,6.29,,https://shop.newcanadianslumber.com/p/2x6x8-premium-spf/S268,2026-08-09T11:21:52.433112
2x6x8 Spruce,IHL Canada,2 in. x 6 in. x 8 ft. Spruce Lumber,20920,6.89,,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-spruce-lumber,2026-08-09T11:18:03.831398
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium SPF,,7.29,,https://www.downtownlumber.com/p/2x6x8-premium-spf/268,2026-08-09T11:21:58.095522
