Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-03-31T14:50:41.592690
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-03-31T14:50:42.979253
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:41.592677
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:42.979256
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-03-31T14:50:41.592877
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-03-31T14:50:42.979269
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-03-31T14:50:41.592731
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-03-31T14:50:42.979279
1/2 Drywall 4x8,IHL Canada,Amvic Envirosheet EN20S25004 2-1/2 in. x 4 ft. x 8 ft. Type-2 EPS Rigid Foam Board Insulation (6-Piece),32515,285.0,,https://ihlcanada.com/products/amvic-envirosheet-en20s25004-2-1-2-in-x-4-ft-x-8-ft-type-2-eps-rigid-foam-board-insulation-6-piece,2026-03-31T14:50:45.998635
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:41.592677
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:42.979256
2x4x10 Spruce,IHL Canada,2 in. x 4 in. x 10 ft. Spruce Lumber,20915,5.75,,https://ihlcanada.com/products/2-in-x-4-in-x-10-ft-spruce-lumber,2026-03-31T14:50:41.592684
2x4x8 Pressure Treated,IHL Canada,2 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22115,7.49,,https://ihlcanada.com/products/2-in-x-4-in-brown-pressure-treated-lumber,2026-03-31T14:50:41.592715
2x4x8 Spruce,IHL Canada,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-03-31T14:50:41.592660
2x6x10 Spruce,IHL Canada,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-03-31T14:50:41.592729
2x6x8 Spruce,IHL Canada,2 in. x 6 in. x 8 ft. Spruce Lumber,20920,6.89,,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-spruce-lumber,2026-03-31T14:50:41.592722
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:41.592693
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-03-31T14:50:42.979274
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-03-31T14:50:41.592720
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-03-31T14:50:42.979230
