supplier,category,name,sku,price_cad,pro_price,unit,url,scraped_at
IHL Canada,Lumber,1 in. x 2 in. x 10 ft. Spruce Lumber,23577,2.06,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-10-ft-spruce-lumber,2026-06-21T13:00:07.385626
IHL Canada,Lumber,1 in. x 2 in. x 24 in. Pointed Wood Stake (25-Pack),28679,23.48,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-pointed-wood-stake-25-pack,2026-06-21T13:00:07.385640
IHL Canada,Lumber,1 in. x 2 in. x 36 in. Chisel Pointed Wood Stake (25 Pack),28680,34.95,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-36-in-pointed-surveyor-wood-stakes-25-pack,2026-06-21T13:00:07.385644
IHL Canada,Lumber,1 in. x 2 in. x 8 ft. Brown Pressure Treated Lumber,22103,3.89,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-8-ft-brown-pressure-treated-lumber,2026-06-21T13:00:07.385647
IHL Canada,Lumber,1 in. x 2 in. x 8 ft. Spruce Lumber,20895,1.65,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-spruce-lumber,2026-06-21T13:00:07.385653
IHL Canada,Lumber,1 in. x 3 in. x 8 ft. Spruce Lumber,20897,2.49,,Default Title,https://ihlcanada.com/products/1-in-x-3-in-x-8-ft-spruce-lumber,2026-06-21T13:00:07.385656
IHL Canada,Lumber,1 in. x 4 in. x 12 ft. Spruce Lumber,20900,4.88,,Default Title,https://ihlcanada.com/products/1-in-x-4-in-x-12-ft-spruce-lumber,2026-06-21T13:00:07.385658
IHL Canada,Lumber,1 in. x 4 in. x 8 ft. Spruce Lumber,20899,3.25,,Default Title,https://ihlcanada.com/products/1-in-x-4-in-spruce-lumber,2026-06-21T13:00:07.385665
IHL Canada,Lumber,1 in. x 6 in. x 10 ft. Economy Spruce Lumber,22349,4.99,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-10-ft-economy-spruce-lumber-378-piece,2026-06-21T13:00:07.385668
IHL Canada,Lumber,1 in. x 6 in. x 14 ft. Spruce Lumber,20903,8.72,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-14-ft-spruce-lumber,2026-06-21T13:00:07.385671
IHL Canada,Lumber,1 in. x 6 in. x 5 ft. Brown Pressure Treated Lumber Fence Board,22106,3.3,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-5-ft-brown-pressure-treated-lumber,2026-06-21T13:00:07.385673
IHL Canada,Lumber,1 in. x 6 in. x 6 ft. Brown Pressure Treated Lumber Fence Board,22107,3.98,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-6-ft-brown-pressure-treated-lumber,2026-06-21T13:00:07.385678
IHL Canada,Lumber,1 in. x 6 in. x 8 ft. Brown Pressure Treated Lumber Fence Board,22108,5.3,,Default Title,https://ihlcanada.com/products/1in-x-6in-brown-pressure-treated-lumber,2026-06-21T13:00:07.385680
IHL Canada,Lumber,1 in. x 6 in. x 8 ft. Spruce Lumber,20901,4.98,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-spruce-lumber,2026-06-21T13:00:07.385682
IHL Canada,Lumber,1 in. x 8 in. x 16 ft. Spruce Lumber,27998,11.98,,Default Title,https://ihlcanada.com/products/1-in-x-8-in-x-16-ft-grade-3-spruce-lumber,2026-06-21T13:00:07.385686
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-06-21T13:00:07.385689
